street_number,street_name,street_type,city,state,full_address
65,Elm,Dr,Jersey City,NJ,"65 Elm Dr, Jersey City, NJ"
758,Cedar,Ct,Paterson,NJ,"758 Cedar Ct, Paterson, NJ"
609,Oak,Way,Elizabeth,NJ,"609 Oak Way, Elizabeth, NJ"
276,Pine,Ln,Jersey City,NJ,"276 Pine Ln, Jersey City, NJ"
618,Oak,Blvd,Elizabeth,NJ,"618 Oak Blvd, Elizabeth, NJ"
992,Cedar,Rd,Jersey City,NJ,"992 Cedar Rd, Jersey City, NJ"
233,Maple,Dr,Jersey City,NJ,"233 Maple Dr, Jersey City, NJ"
722,Oak,Ct,Paterson,NJ,"722 Oak Ct, Paterson, NJ"
165,Elm,St,Trenton,NJ,"165 Elm St, Trenton, NJ"
642,Main,Dr,Camden,NJ,"642 Main Dr, Camden, NJ"
759,Main,Way,Jersey City,NJ,"759 Main Way, Jersey City, NJ"
148,Main,Rd,Jersey City,NJ,"148 Main Rd, Jersey City, NJ"
586,Pine,Dr,Trenton,NJ,"586 Pine Dr, Trenton, NJ"
254,Elm,Ln,Newark,NJ,"254 Elm Ln, Newark, NJ"
513,Oak,Way,Jersey City,NJ,"513 Oak Way, Jersey City, NJ"
304,Oak,Way,Newark,NJ,"304 Oak Way, Newark, NJ"
282,Pine,St,Newark,NJ,"282 Pine St, Newark, NJ"
194,Pine,Rd,Jersey City,NJ,"194 Pine Rd, Jersey City, NJ"
575,Cedar,Dr,Trenton,NJ,"575 Cedar Dr, Trenton, NJ"
5,Elm,Blvd,Paterson,NJ,"5 Elm Blvd, Paterson, NJ"
61,Elm,Rd,Paterson,NJ,"61 Elm Rd, Paterson, NJ"
857,Pine,Dr,Elizabeth,NJ,"857 Pine Dr, Elizabeth, NJ"
186,Maple,Ln,Paterson,NJ,"186 Maple Ln, Paterson, NJ"
973,Maple,Ct,Jersey City,NJ,"973 Maple Ct, Jersey City, NJ"
387,Main,Blvd,Camden,NJ,"387 Main Blvd, Camden, NJ"
368,Elm,Rd,Trenton,NJ,"368 Elm Rd, Trenton, NJ"
802,Pine,Ave,Elizabeth,NJ,"802 Pine Ave, Elizabeth, NJ"
673,Oak,Way,Newark,NJ,"673 Oak Way, Newark, NJ"
213,Oak,Ct,Trenton,NJ,"213 Oak Ct, Trenton, NJ"
929,Maple,Way,Elizabeth,NJ,"929 Maple Way, Elizabeth, NJ"
18,Main,Blvd,Camden,NJ,"18 Main Blvd, Camden, NJ"
452,Maple,Ln,Camden,NJ,"452 Maple Ln, Camden, NJ"
532,Cedar,Ave,Paterson,NJ,"532 Cedar Ave, Paterson, NJ"
183,Cedar,Ln,Elizabeth,NJ,"183 Cedar Ln, Elizabeth, NJ"
13,Cedar,Ln,Paterson,NJ,"13 Cedar Ln, Paterson, NJ"
689,Pine,Dr,Jersey City,NJ,"689 Pine Dr, Jersey City, NJ"
494,Elm,Rd,Paterson,NJ,"494 Elm Rd, Paterson, NJ"
940,Oak,St,Elizabeth,NJ,"940 Oak St, Elizabeth, NJ"
624,Cedar,Ln,Newark,NJ,"624 Cedar Ln, Newark, NJ"
360,Elm,Blvd,Paterson,NJ,"360 Elm Blvd, Paterson, NJ"
427,Maple,Ct,Jersey City,NJ,"427 Maple Ct, Jersey City, NJ"
194,Pine,Way,Newark,NJ,"194 Pine Way, Newark, NJ"
211,Maple,Ln,Paterson,NJ,"211 Maple Ln, Paterson, NJ"
513,Pine,Way,Elizabeth,NJ,"513 Pine Way, Elizabeth, NJ"
482,Oak,Blvd,Paterson,NJ,"482 Oak Blvd, Paterson, NJ"
768,Maple,Ln,Paterson,NJ,"768 Maple Ln, Paterson, NJ"
436,Main,Rd,Elizabeth,NJ,"436 Main Rd, Elizabeth, NJ"
744,Pine,Blvd,Newark,NJ,"744 Pine Blvd, Newark, NJ"
575,Elm,St,Paterson,NJ,"575 Elm St, Paterson, NJ"
468,Cedar,Ln,Jersey City,NJ,"468 Cedar Ln, Jersey City, NJ"
